Part Number,Description,Outside Length,Outside Width,Outside Depth
801629B-01,"CONTAINER, PAPERBOARD, WIRELESS NODE",5,5,6
800622E-01,"CONTAINER, TOP TUCK, ID 10.46 X 10.46 X 2.84 CM",12,11,3
801630B-01,"CONTAINER, DIE-CUT SPECIAL, WIRELESS NODE, 1-PACK",14,12,5
800814B-01,"CONTAINER, RELF, 15.9 X 13 X 2.9 CM",19,14,4
800393D-01,"CONTAINER, TUCK TOP, 8.6 X 7.7 X 11.1 CM",9,8,12
800871B-01,"CONTAINER, TUCK TOP, ID 13.3 X 13.3 X 4.4 CM",15,14,5
800564C-01,"CONTAINER, TUCK TOP, 11.6 X 6.2 X 11.4 CM",12,7,12
801050B-01,"CONTAINER, TUCK TOP, ID 15.3 X 11.7 X 5.2 CM",19,13,6
801631C-01,"CONTAINER, RELF, ID 22 X 9.2 X 4.6 CM",25,10,5
800944B-01,"CONTAINER, TUCK TOP, SPECIAL, CHARLENE USB-TC01",19,15,5
800820B-01,"CONTAINER, DIE-CUT RELF, ID 23 X 18.5 X 3.8CM",25,20,4
800008B-02,"CONTAINER, TUCK TOP, ID 9.31L X 8.18W X 1.38D,KRAFT(WITHOUT ARTWORK)",26,22,4
800691B-01,"CONTAINER, RELF, ID 23.6 X 20.7 X 3.5 CM, UNBRANDED",27,22,4
800392D-01,"CONTAINER, TUCK TOP, ID 14.3 X 11.1 X 12.7 CM",15,12,13
800701B-01,"CONTAINER, RELF, 55 X 10 X 4 CM",58,11,5
801320B-01,"CONTAINER, MODIFIED RELF, 33.7 X 15.2 X 4.4 CM",37,16,5
800700B-01,"CONTAINER, TUCK TOP, 37 X 16 X 4 CM",40,18,5
801104B-01,"CONTAINER, RELF, ID 18.7 X 18.7 X 6.8 CM",22,20,8
800949C-01,"CONTAINER, TUCK TOP, 21.1 X 20.6 X 5.9 CM",23,22,7
801205C-01,"CONTAINER, RELF, 29.2 X 22.2 X 4.4 CM",33,23,5
800771B-01,"CONTAINER, RELF, ID 37.2 X 15.2 X 5.7 CM",39,19,6
801699B-01,"CONTAINER, TUCK TOP, ID 29.2 X 19.7 X 5.8 CM, UNBRANDED",33,22,6
801494B-01,"CONTAINER, RSC, 25.4 X 13 X 10.5 CM",26,14,12
800075C-01,"CONTAINER, RELF, ID 28.4 X 21.9 X 6 CM",32,23,7
800075C-02,"CONTAINER, RELF, ID 28.4 X 21.9 X 6 CM, UNBRANDED",32,23,7
800692A-01,"CONTAINER, RELF, 28.9 X 21.9 X 6 CM, UNBRANDED",31,23,7
801201B-01,"CONTAINER, RELF, 33.5 X 27 X 4.4 CM",37,28,5
800823B-01,"CONTAINER, RSC, 19 X 19 X 12.7 CM",20,20,14
801378A-01,"CONTAINER, TUCK TOP ID 12.2L X 9.05W X 2.76D, KRAFT, UNBRANDED",34,24,8
801266B-02,"CONTAINER, RSC, 21.6 X 15.9 X 15.2 CM",23,17,16
801295B-01,"CONTAINER, RELF, 33 X 33 X 5 CM",34,37,8
801595B-01,"CONTAINER, RSC, 31.9 X 21.9 X 7.9 CM",33,23,10
801365B-01,"CONTAINER, RSC, 21.6 X 15.9 X 17.1 CM",23,17,18
801248B-01,"CONTAINER, RELF, 34.3 X 22.7 X 7.6 CM",37,23,8
800746B-01,"CONTAINER, RELF, ID 55.9 X 27 X 4.5 CM",60,28,5
801114B-01,"CONTAINER, DIE-CUT RELF, 52.4 X 28.9 X 4.5 CM",55,30,5
801774A-01,"CONTAINER, RELF, ID 28.5 X 21.8 X 11.3 CM",31,23,12
800981C-01,"CONTAINER, RELF, ID 34.5 X 28.7 X 7 CM",37,30,8
801254B-01,"CONTAINER, RSC, ID 26.7 X 15.1 X 18.1 CM",28,16,20
801556B-01,"CONTAINER, RELF, 48.3 X 29.9 X 5.1 CM",51,31,6
801083B-01,"CONTAINER, RELF, ID 53.9 X 14.6 X 9.4CM",57,16,10
801897A-01,"CONTAINER, RSC, ID 40.8 X 14.4 X 12.8 CM",41,15,15
801707A-01,"CONTAINER, RELF, ID 54 X 28 X 5 CM",58,29,6
801292B-01,"CONTAINER, RSC, 22.1 X 18.5 X 18.7 CM",23,19,20
800807B-01,"CONTAINER, RSC, ID 35.5 X 15.7 X 14.1 CM",36,17,16
801040B-01,"CONTAINER, RELF, 52 X 27.3 X 6 CM",55,29,7
800088C-01,"CONTAINER, RSC, ID 31.5 X 25.4 X 10.8 CM",33,26,12
800088C-02,"CONTAINER, RSC, ID 31.5 X 25.4 X 10.8 CM, UNBRANDED",33,26,12
801771A-01,"CONTAINER, RELF, ID 29 X 23 X 13 CM",32,24,14
801500A-01,"CONTAINER, RELF, KRAFT, ID 20.5 X 11.63 X 2.25""",57,31,7
800322B-01,"CONTAINER, RSC, 43.2 X 22.9 X 9.5 CM",45,24,11
800322B-02,"CONTAINER, RSC, ID 43.2 X 22.9 X 9.5 CM, UNBRANDED",45,24,11
801587B-01,"CONTAINER, RSC, 32.5 X 14 X 20.8 CM",33,15,22
801315B-01,"CONTAINER, RSC, 30.5 X 26 X 12.1 CM",31,27,14
800978B-01,"CONTAINER, RELF, 52.7 X 34.3 X 5.7 CM",56,35,6
801278B-01,"CONTAINER, RSC, ID 38.1 X 15.1 X 18.1 CM",39,16,20
800702B-01,"CONTAINER, RELF, 40 X 40 X 7 CM",43,41,8
801296B-01,"CONTAINER, RELF, 48.3 X 48.3 X 5 CM",50,55,8
801601B-01,"CONTAINER, RSC, 26 X 22.4 X 20.3 CM",27,23,22
801306B-01,"CONTAINER, RSC, 46.8 X 15.1 X 16.8 CM",48,16,19
800072C-01,"CONTAINER, RSC, ID 31.5 X 25.4 X 15.2 CM",33,26,16
801593B-01,"CONTAINER, RSC,  36.9 X 26 X 12.9 CM",38,27,15
801597B-01,"CONTAINER, RSC, 30.5 X 27.9 X 14.9 CM",31,28,17
801045B-01,"CONTAINER, RELF, 57.1 x  40 x 5.7 CM",61,41,7
800695A-01,"CONTAINER, RELF, ID 60.3 X 24.3 X 9 CM, UNBRANDED",64,26,10
801103A-01,"CONTAINER, RELF, 92.7 X 17.3 X 8.3 CM",96,18,9
801605C-01,"CONTAINER, RSC, UN CERTIFIED, 36.6 X 25.8 X 14.7",,, 
801270B-01,"CONTAINER, RSC, 40.6 X 31.1 X 11.4 CM",,,
800983A-01,"CONTAINER, RSC, MULTIPLE CREASED, SMALL SIZE, UNBRANDED",32,26,22
800414A-02,"CONTAINER, RELF, ID 55 X 25.4 X 11.1 CM, UNBRANDED",58,26,12
800414B-01,"CONTAINER, RELF, 55.1 X 25.4 X 11.1 CM",58,26,12
801506B-01,"CONTAINER, RSC, 52.1 X 21 X 14.6 CM",53,22,16
800819B-01,"CONTAINER, RSC, 36.2 X 25 X 18 CM",37,26,19
801489B-01,"CONTAINER, RSC, 36.2 X 25.1 X 18.1 CM",37,26,19
801387B-01,"CONTAINER, RSC, 45.7 X 13.3 X 29.5 CM",46,14,31
801209B-01,"CONTAINER, RSC, 34.3 X 27.6 X 18.1 CM",36,29,20
801825A-01,"CONTAINER, RSC, ID 36 X 36 X 15 CM",37,37,17
801725A-01,"CONTAINER, RSC, 37 X 16.5 X 32 CM",38,18,33
801020B-01,"CONTAINER, RSC, 47.6 X 37.1 X 11.6 CM",48,38,13
800725B-02,"CONTAINER, RSC, ID 38.3 X 32.5 X 16.5 CM, UNBRANDED",39,34,19
801204B-01,"CONTAINER, RSC, 33 X 29.5 X 21.3 CM",34,31,23
800031B-01,"CONTAINER, RSC, 45.7 X 30.5 X 15.2 CM",46,32,17
801672C-01,"CONTAINER, FOL/RSC, 31.8 X 24.2 X 26 CM",33,25,30
800030C-01,"CONTAINER, RSC, ID 31.5 X 30.5 X 22.9 CM",33,32,25
800030C-02,"CONTAINER, RSC, ID 31.5 X 30.5 X 22.9 CM, UNBRANDED",33,32,25
800512C-01,"CONTAINER, RSC, 36.2 X 25 X 25 CM",37,27,28
800512C-02,"CONTAINER, RSC, 36.2 X 25 X 25 CM, UNBRANDED",37,27,28
801156B-01,"CONTAINER, RSC, 33.7 X 26.7 X 25.4 CM",35,28,27
801594B-01,"CONTAINER, RSC, 36.9 X 26 X 25 CM",38,27,27
801421B-01,"CONTAINER, ALL FLAPS MEET, 45.5 X 39 X 14 CM",47,40,15
801544B-01,"CONTAINER, RSC, 49.5 X 38.7 X 13 CM",51,40,15
801318B-01,"CONTAINER, RSC, 41.9 X 36.8 X 16.5 CM",43,37,19
801022B-01,"CONTAINER, RSC, 54.2 X 18.2 X 24.1 CM",55,21,25
801666C-01,"CONTAINER, FOL/RSC, 42 X 24.2 X 26 CM",43,25,27
801125A-03,"CONTAINER, RSC, ID 45.9 X 23.9 X 23.9 CM, UNBRANDED",47,25,25
800984B-01,"CONTAINER, RSC, MULTI-SCORE, LARGE",32,26,38
801537B-01,"CONTAINER, RSC, 45.7 X 32.1 X 19.1 CM",46,33,21
801697A-01,"CONTAINER, RSC, ID 43.0 X 32.8 X 20.9 CM  ",44,34,23
801510B-01,"CONTAINER, RSC, 51.8 X 31.8 X 18.4 CM",53,33,20
801686B-01,"CONTAINER, FOL/RSC, 48.7 X 24.2 X 26 CM",50,25,27
801521B-01,"CONTAINER, DIE-CUT RSC, 49.2 X 36.8 X 17.1 CM",,,
801936A-01,"CONTAINER, TUCK FLAP, 67.5 X 32 X 15CM",70,33,16
800980C-01,"CONTAINER, RSC, 34.9 X 32.4 X 28.7 CM",36,34,32
801856B-01,"CONTAINER, RSC, 34 X 30.5 X 31.3 MM",35,32,33
801721A-01,"CONTAINER, RSC, 26 X 22 X 57.5 CM",27,23,59
801808A-01,"CONTAINER, RSC, 44.2 X 30.2 X 26 CM",46,31,28
800050B-01,"CONTAINER, RSC, 48.6 X 33.4 X 21.6 CM",50,35,24
800080B-02,"CONTAINER, RSC, ID 41.9 X 36.2 X 24.1 CM, UNBRANDED",43,37,26
800080C-01,"CONTAINER, RSC, 41.9 X 36.2 X 24.1 CM",42,37,26
801724A-01,"CONTAINER, RSC, 38 X 25 X 39.3 CM",39,27,41
801650B-01,"CONTAINER, RSC, ID 42.2 X 27.3 X 30.5 CM",44,28,32
801592D-01,"CONTAINER, RSC, 46 X 38.4 X 23.1 CM",47,40,25
801018B-01,"CONTAINER, RSC, 47.6 X 37.1 X 23.5 CM",48,38,25
801344A-01,"CONTAINER, RSC, ID 37 X 35 X 32.5 CM, UNBRANDED",39,37,36
800813B-01,"CONTAINER, RSC, 38.1 X 34.9 X 31.8 CM",39,36,33
800036B-01,"CONTAINER, RSC, 54.3 X 35.3 X 22.2 CM",55,36,24
801710B-01,"CONTAINER, RSC, ID 40.5 X 36.8 X 28.9 CM",43,40,34
801585C-01,"CONTAINER, RSC, 62.2 X 35.5 X 19.7 CM",63,37,22
801886A-01,"CONTAINER, RSC, MULTIPLE CREASED, LARGE SIZE, 38 X 27 X 47.3 CM, UNBRANDED",39,28,49
801090B-01,"CONTAINER, RSC, 49.3 X 35.9 X 28.6 CM",50,37,30
801722A-01,"CONTAINER, RSC, 32 X 26.8 X 60 CM",33,28,61
800034B-01,"CONTAINER, RSC, 55.9 X 30.5 X 30.5 CM",57,32,32
801028B-01,"CONTAINER, RSC, 43.5 X 37.1 X 33.7 CM",45,38,36
800829A-02,"CONTAINER, RSC, ID 42.9 X 40.1 X 33.2 CM, UNBRANDED",44,42,36
801554B-01,"CONTAINER, RSC,  ID  51.1 X 37.5 X 31.1 CM",52,39,35
801200B-01,"CONTAINER, RSC, 59 X 28 X 37 CM",60,30,40
801555B-01,"CONTAINER, RSC, 51.1 X 43.5 X 31.1 CM",52,45,35
801596B-01,"CONTAINER, RSC, 59 X 27.9 X 42.9 CM",61,30,46
801106B-01,"CONTAINER, RSC, ID 55.5 X 30.8 X 43.2CM",57,33,46
800077C-01,"CONTAINER, RSC, 57.2 X 47.6 X 27.6 CM",59,49,29
800749B-01,"CONTAINER, RSC, 58.7 X 46 X 27.9 CM",61,48,31
801648B-01,"CONTAINER, RSC, 61.9 X 35.9 X 34.9 CM",63,37,37
800801A-01,"CONTAINER, RSC, ID 58.5 X 31.6 X 46.1 CM, UNBRANDED ",60,33,49
801562B-01,"CONTAINER, RSC, ID 63.5 X 30.5 X 46.4 CM",65,32,50
801695B-01,"CONTAINER, RSC, 53.3 X 52.5 X 32.2 CM",54,54,34
801921A-01,"CONTAINER, RSC, 94.5 X 31 X 31 CM",97,33,34
800769A-02,"CONTAINER, RSC, ID 61.1 X 49.5 X 31.5 CM, UNBRANDED",62,50,35
800977B-01,"CONTAINER, RSC, ID 56.6 X 47.7 X 35.5 CM",58,49,39
801384B-01,"CONTAINER, RSC, 62.6 X 59.8 X 26.7 CM",65,62,29
801195B-01,"CONTAINER, RSC, 66.7 X 51.3 X 29.8 CM",68,53,33
801258B-01,"CONTAINER, RSC, 56.8 X 56.8 X 32.1 CM",58,58,34
800770B-01,"CONTAINER, RSC, 59.7 X 39.4 X 44.4 CM  ",61,40,46
801032B-01,"CONTAINER, RSC, 62.5 X 44.4 X 40 CM",64,46,42
801900A-01,"CONTAINER, RSC, ID 78.4 X 58.4 X 25 CM  ",80,60,28
800035B-01,"CONTAINER, RSC, 67.3 X 41.9 X 41.9 CM",69,43,44
800035B-02,"CONTAINER, RSC, ID 67.3 X 41.9 X 41.9 CM, UNBRANDED",69,43,44
800744B-01,"CONTAINER, RSC, ID 64.8 X 60.3 X 30.4 CM",67,62,34
801038B-01,"CONTAINER, RSC, 59.1 X 37.1 X 54.4 CM",61,39,58
800319B-01,"CONTAINER, RSC, 58.4 X 48.9 X 45.7 CM",60,50,48
801094D-01,"CONTAINER, RSC, 78.7 X 31.3 X 54.9 CM",80,32,57
800931C-01,"CONTAINER, RSC, 66.5 X 65.5 X 31.4 CM",68,67,34
801504B-01,"CONTAINER, RSC, ID 77.5 X 58.4 X 31.1 CM",80,60,34
801702A-01,"CONTAINER, HSC, ID 75 X 32.4 X 58",77,34,59
800764A-02,"CONTAINER, RSC, ID 67 X 63 X 33.5 CM, UNBRANDED",68,65,37
801726A-01,"CONTAINER, RSC, 68.2 X 35 X 60 CM",70,37,63
801560A-01,"CONTAINER, RSC, ID 72.9 X 61.9 X 34.9 CM, UNBRANDED",75,64,39
801704A-01,"CONTAINER, HSC, ID 75 X 32.4 X 66 CM",77,34,67
800787B-01,"CONTAINER, RSC, ID 81.9 X 34 X 59 CM, UNBRANDED",83,36,62
801044C-01,"CONTAINER, RSC, 66.7 X 61.6 X 43.8 CM",68,63,48
801728A-01,"CONTAINER, RSC, 68.2 X 46 X 60 CM",70,48,63
801561A-01,"CONTAINER, RSC, ID 81.8 X 62.8 X 37.8 CM, UNBRANDED",83,64,39
801169B-01,"CONTAINER, RSC, 98.4 X 58.1 X 38.1 CM",100,60,41
801727A-01,"CONTAINER, RSC, 70 X 52 X 60 CM",70,54,63
801763A-01,"CONTAINER, RSC, ID 78 X 44 X 68.8 CM, UNBRANDED",80,47,72
800720A-02,"CONTAINER, RSC, ID 74.2 X 53.3 X 66 CM, UNBRANDED",76,55,69
801751A-01,"CONTAINER, HSC, ID 85 X 43.3 X 74 CM",87,45,75
801379C-01,"CONTAINER, RSC, 95 X 66 X 47.5 CM, UNBRANDED",97,67,50
800759B-02,"CONTAINER, RSC, 77 X 66 X 63.5 CM",79,68,66
800661C-01,"CONTAINER, RSC, 98.4 X 57.9 X 56.8 CM, UNBRANDED",100,60,60
801874B-01,"CONTAINER, RSC, ID 118.1 X 77.5 X 46 CM, UNBRANDED",120,79,48
800767C-01,"CONTAINER, RSC, 118.1 X 77.5 X 63.5 CM, UNBRANDED  ",120,79,66
